sno,func,wait,counter
30,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,85605,31
31,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2509,32
32,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2109,33
33,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2272,34
34,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,7227,35
35,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3291,36
36,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9824,37
37,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2806,38
38,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1478,39
39,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,32229,40
40,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6682,41
41,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,14603,42
42,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1603,43
43,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3729,44
44,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2656,45
45,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2666,46
46,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3296,47
47,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,7211,48
48,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2164,49
49,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2605,50
50,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1122,51
51,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2323,52
52,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,8434,53
53,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5217,54
54,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6536,55
55,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,15764,56
56,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,25452,57
57,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3889,58
58,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,50,59
59,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,11,60
60,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,538,61
61,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6380,62
62,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2852,63
63,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2082,64
64,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1974,65
65,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1835,66
66,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3278,67
67,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4388,68
68,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4003,69
69,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3694,70
70,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4178,71
71,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2525,72
72,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3339,73
73,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1650,74
74,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6681,75
75,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4699,76
76,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,7465,77
77,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5019,78
78,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4932,79
79,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5826,80
80,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3655,81
81,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4030,82
82,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4586,83
83,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,60987,84
84,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,7979,85
85,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5139,86
86,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6043,87
87,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2705,88
88,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2812,89
89,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5470,90
90,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4478,91
91,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2360,92
92,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,25303,93
93,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,32768,94
94,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6906,95
95,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3490,96
96,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,14546,97
97,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,16,98
98,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,33008,99
99,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3867,100
100,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3663,101
101,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3075,102
102,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4022,103
103,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3866,104
104,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5994,105
105,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4544,106
106,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4692,107
107,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5604,108
108,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5887,109
109,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2249,110
110,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3944,111
111,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5536,112
112,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3404,113
113,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2554,114
114,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6634,115
115,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,13854,116
116,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3589,117
117,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1725,118
118,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2278,119
119,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,56006,120
120,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,89936,121
121,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9943,122
122,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4118,123
123,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4112,124
124,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9162,125
125,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2730,126
126,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,10,127
127,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2874,128
128,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,57232,129
129,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,78825,130
130,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,41057,131
131,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,19526,132
132,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6171,133
133,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5329,134
134,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,8864,135
135,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4248,136
136,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2079,137
137,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3688,138
138,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4149,139
139,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2573,140
140,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2974,141
141,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2440,142
142,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6014,143
143,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3848,144
144,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3338,145
145,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,12327,146
146,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,32432,147
147,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,8368,148
148,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,36082,149
149,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3011,150
150,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9749,151
151,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2789,152
152,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1346,153
153,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3556,154
154,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5786,155
155,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3659,156
156,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5032,157
157,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9195,158
158,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5162,159
159,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5900,160
160,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3540,161
161,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2318,162
162,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4796,163
163,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,18067,164
164,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4077,165
165,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3992,166
166,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3021,167
167,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2717,168
168,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5135,169
169,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4858,170
170,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6692,171
171,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4318,172
172,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6324,173
173,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4762,174
174,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4309,175
175,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1607,176
176,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6190,177
177,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5835,178
178,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3264,179
179,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1848,180
180,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5081,181
181,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6282,182
182,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4676,183
183,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2666,184
184,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5854,185
185,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2656,186
186,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6129,187
187,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3344,188
188,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4717,189
189,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,22227,190
190,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,39065,191
191,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1878,192
192,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2329,193
193,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9,194
194,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1120,195
195,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4401,196
196,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1844,197
197,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1749,198
198,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2659,199
199,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4003,200
200,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,11504,201
201,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,11729,202
202,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6768,203
203,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4232,204
204,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,3141,205
205,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2141,206
206,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4226,207
207,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4764,208
208,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4787,209
209,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,21701,210
210,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2171,211
211,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5196,212
212,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4655,213
213,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4744,214
214,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5967,215
215,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2283,216
216,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2448,217
217,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,8245,218
218,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,10346,219
219,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,8401,220
220,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2016,221
221,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,88541,222
222,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,35307,223
223,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,24685,224
224,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,26,225
225,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,47541,226
226,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,68147,227
227,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,30803,228
228,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,39387,229
229,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,21067,230
230,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,33666,231
231,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,38944,232
232,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,20422,233
233,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,16,234
234,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,15622,235
235,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,10601,236
236,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6,237
237,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4272,238
238,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,29577,239
239,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,57964,240
240,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,45317,241
241,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,75438,242
242,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,45235,243
243,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,15953,244
244,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,59999,245
245,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,35270,246
246,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,44432,247
247,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,41644,248
248,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,36233,249
249,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,44625,250
250,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,35483,251
251,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2330,252
252,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,14,253
253,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,21703,254
254,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,11015,255
255,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,11,256
256,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2594,257
257,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,8,258
258,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1628,259
259,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,10,260
260,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,327,261
261,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9,262
262,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,366,263
263,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9,264
264,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,442,265
265,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,10,266
266,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,526,267
267,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9,268
268,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,350,269
269,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,26,270
270,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,522,271
271,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,10,272
272,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,397,273
273,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2408,274
274,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,17576,275
275,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5039,276
276,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,8,277
277,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1134,278
278,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9,279
279,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1927,280
280,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,8,281
281,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,744,282
282,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,11,283
283,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,2014,284
284,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,7,285
285,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1489,286
286,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1012,287
287,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9,288
288,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,837,289
289,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9,290
290,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1283,291
291,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,304,292
292,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,45,293
293,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,920,294
294,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,18,295
295,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,488,296
296,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1789,297
297,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,172,298
298,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9,299
299,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,671,300
300,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,1967,301
301,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,10,302
302,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,52,303
303,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,903,304
304,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9,305
305,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,679,306
306,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9,307
307,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,453,308
308,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,10,309
309,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,514,310
310,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,8,311
311,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,520,312
312,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,10,313
313,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,470,314
314,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,4,315
315,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,969,316
316,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9,317
317,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,398,318
318,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,6,319
319,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,353,320
320,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9,321
321,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,411,322
322,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,5,323
323,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,404,324
324,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,9,325
325,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,903,326
